Displaced,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Target
0,1,0,0,29,11.45454545,11.54545455,Dropout
0,0,0,1,20,12,10,Dropout
0,0,0,0,31,12.66666667,12.6,Dropout
0,1,0,0,20,12.66666667,13.77777778,Graduate
1,1,0,0,21,11.88888889,11.46153846,Graduate
1,1,0,0,23,0,0,Dropout
0,0,0,0,21,13,11.6,Dropout
0,1,0,0,24,16.88571429,15.74444444,Graduate
0,1,0,0,27,12.5,12.33333333,Graduate
0,1,0,1,18,13.05555556,15.8125,Graduate
1,0,0,0,21,0,0,Dropout
1,1,0,1,19,0,0,Dropout
1,1,0,1,19,12.35571429,12.35571429,Graduate
0,1,0,0,18,0,0,Dropout
1,1,0,1,18,11.98,11.98,Graduate
1,1,0,1,20,13.85714286,12.57142857,Graduate
1,1,0,0,24,13,14.16666667,Graduate
1,1,0,0,20,12.83333333,11.16666667,Graduate
0,1,0,0,20,11,13.2,Graduate
1,1,0,1,19,12.35714286,12.35714286,Graduate
1,1,0,1,18,13.85714286,13.85714286,Graduate
1,1,0,1,20,12.33333333,10.66666667,Graduate
1,1,0,0,20,12.84714286,13.78888889,Graduate
1,1,0,1,19,12.34,13.01875,Graduate
1,1,0,0,19,12.66666667,11.75,Graduate
1,1,0,0,20,13.83333333,12.5,Graduate
1,1,0,0,19,10.75,10,Dropout
1,1,0,0,19,13.25,10.25,Dropout
1,1,0,1,18,13.73125,13.73125,Graduate
0,1,0,1,23,13.33333333,12.66666667,Dropout
1,1,0,0,21,12,10.8,Dropout
1,1,0,0,23,10.88888889,11.33333333,Graduate
1,1,0,0,19,13.025,13.81111111,Graduate
1,1,0,0,18,13,14.16666667,Graduate
1,1,0,0,19,11.8,12,Graduate
0,1,0,1,25,12.04285714,12.04285714,Graduate
1,1,0,0,19,12.2,13,Graduate
0,1,0,1,19,12.8375,15.5,Graduate
0,1,0,1,24,11,11.7,Graduate
1,1,0,1,18,13.5,14,Graduate
1,1,0,1,19,12.125,12.71428571,Graduate
0,1,0,1,18,12.62857143,12.62857143,Graduate
0,1,0,0,27,10.66666667,11.4,Graduate
0,1,0,0,19,11.2,11.6,Graduate
0,1,0,1,18,12.66666667,11.83333333,Dropout
0,0,0,0,34,13.5,0,Dropout
0,1,0,0,18,11.66666667,11,Graduate
1,1,0,0,18,10.5,12.33333333,Graduate
1,1,0,0,18,14.26875,14.26875,Graduate
1,0,0,0,20,0,0,Dropout
1,1,0,1,19,10.5,13.33333333,Graduate
0,1,0,0,21,11.2,10,Graduate
0,1,0,0,26,12,14.83333333,Graduate
0,1,0,0,27,12.22857143,13.2125,Graduate
1,1,0,0,20,11.5,10.75,Graduate
1,1,0,0,18,15.375,16.42857143,Graduate
1,0,0,0,23,13.66666667,13.5,Graduate
0,1,0,0,24,12.61428571,12.61428571,Graduate
1,1,0,1,19,12.2,11.5,Graduate
0,1,0,0,19,11.75,11,Graduate
1,1,0,1,19,11.4,10,Graduate
0,1,0,0,18,10.6,10,Graduate
0,1,0,0,22,10.92307692,11.45454545,Graduate
0,1,0,0,20,12.4,12.4,Graduate
0,1,0,0,25,0,0,Dropout
0,1,0,0,21,15.83333333,15.5,Graduate
1,1,0,0,19,11.8,11.70833333,Graduate
1,1,0,0,18,12.57142857,13.66666667,Graduate
1,1,0,0,18,12,13.25,Graduate
1,1,1,0,19,13.3625,14.44444444,Graduate
1,1,0,1,19,15.4,16,Graduate
1,0,0,0,18,12.2,11.75,Dropout
1,1,0,1,20,12.81818182,13.54545455,Graduate
1,1,0,0,19,0,0,Dropout
1,1,0,0,28,13.39473684,13.55473684,Graduate
1,1,0,1,20,14.25,11,Graduate
1,1,0,0,30,13.44444444,14.71428571,Dropout
1,1,0,1,19,12.28571429,11.7375,Graduate
1,1,0,0,22,11.66666667,13.2,Graduate
1,1,0,0,18,12.16666667,13.5,Graduate
1,1,0,0,23,10,11,Dropout
1,1,0,0,18,14,15,Graduate
1,1,0,0,18,11.83333333,12,Graduate
0,0,1,0,50,15,0,Dropout
1,1,0,1,19,0,0,Graduate
1,1,0,0,22,10.83333333,10.66666667,Graduate
0,1,0,1,23,13.14285714,14,Graduate
0,0,0,1,20,14.4,14,Dropout
0,0,0,0,44,0,0,Dropout
0,1,1,0,49,12,11.22222222,Graduate
0,1,1,0,46,12.2,12.8,Graduate
1,0,1,0,41,12.33333333,11,Dropout
1,1,1,0,18,11.8375,12.48125,Graduate
0,1,1,0,43,11.8,14,Graduate
0,0,1,0,70,0,0,Dropout
0,1,1,0,48,0,0,Dropout
0,1,1,0,41,12.68421053,12.38461538,Graduate
0,1,1,0,21,12.57142857,13,Graduate
0,0,1,0,35,11.25,0,Dropout
1,1,1,0,44,14,15.5,Graduate
1,1,1,0,18,13.33333333,13.5,Dropout
1,1,1,0,45,13.66666667,13.66666667,Graduate
0,1,1,0,20,10,10.8,Graduate
1,1,1,0,22,12.6,11.71428571,Graduate
0,1,1,0,39,17.33333333,17,Dropout
0,0,1,0,20,13.2,12,Graduate
0,1,1,0,49,14,13.66666667,Dropout
1,1,1,0,43,13.875,12.5,Dropout
1,1,1,0,32,0,0,Dropout
0,1,1,0,47,13.11111111,14.85714286,Graduate
0,1,1,1,37,13,13.33333333,Dropout
0,1,1,0,41,12.5,12.14285714,Graduate
0,1,1,0,60,14.11111111,14.23076923,Graduate
0,1,1,0,47,14.72727273,15.77777778,Graduate
0,0,1,0,50,0,0,Dropout
1,1,1,0,45,0,0,Dropout
0,0,1,0,45,0,0,Dropout
0,1,1,0,33,13.5,11.6,Graduate
0,1,1,0,18,13.10571429,13.10571429,Graduate
0,1,1,0,43,13.5,14.4,Graduate
0,1,1,0,44,11.84615385,12,Graduate
0,1,1,0,29,0,0,Dropout
0,0,1,0,53,14.33333333,0,Dropout
0,1,1,0,37,15.8,17.6,Graduate
1,1,1,0,18,13.8,12.4,Graduate
0,1,1,0,35,12.66666667,12,Dropout
0,1,1,0,23,13,12,Graduate
1,1,1,0,22,0,0,Graduate
0,0,1,0,33,11,0,Dropout
0,0,1,0,41,0,0,Dropout
0,1,1,0,51,15.2,16.575,Graduate
0,1,1,0,19,14.42857143,14.375,Graduate
0,1,1,0,35,0,0,Dropout
1,1,1,0,20,0,0,Graduate
1,1,1,0,18,13.75,11.2,Graduate
0,0,1,1,18,12.16666667,12,Dropout
0,1,1,0,21,12.14285714,11.66666667,Graduate
1,1,1,0,21,12,11.6,Graduate
0,1,1,0,34,11.66666667,12.75,Graduate
1,1,1,0,34,0,0,Dropout
1,1,1,0,21,11.875,12,Graduate
0,1,1,0,32,11.28571429,12.33333333,Graduate
1,1,1,0,30,10,11.33333333,Dropout
1,1,1,0,19,12,11.18181818,Graduate
1,1,1,0,20,13.83333333,13,Dropout
1,1,1,0,18,0,0,Dropout
0,1,1,0,19,14.42857143,12.5,Graduate
1,1,1,0,18,14.2,12.4,Dropout
0,1,1,0,27,11.5,10.33333333,Dropout
1,1,1,0,52,13,15,Graduate
1,0,1,0,29,0,0,Dropout
1,0,1,0,22,11.33333333,11,Dropout
1,1,1,0,28,12.5,11.42857143,Graduate
1,1,1,0,30,0,0,Dropout
1,1,0,0,18,13.47142857,13.94444444,Graduate
1,1,0,0,21,11.75,13.33333333,Graduate
1,1,0,1,20,13.33333333,14.66666667,Graduate
1,1,0,1,21,13.105,13.105,Graduate
0,0,0,0,32,0,0,Dropout
1,1,1,1,20,15.5,12.16666667,Graduate
1,0,1,0,19,0,0,Dropout
0,0,1,0,18,11.25,12.33333333,Dropout
1,0,1,0,23,11,11.36363636,Dropout
1,1,1,0,20,12.33333333,13,Graduate
1,1,0,0,46,11.375,11.8,Graduate
0,1,1,0,27,12.22222222,12.38461538,Graduate
1,1,1,0,20,0,0,Graduate
1,1,1,0,41,12,12,Graduate
0,1,1,0,40,11,10,Graduate
0,1,1,0,37,14.125,13,Graduate
0,1,1,0,20,10.2,11.2,Graduate
1,1,0,0,20,12,12.4,Graduate
0,1,0,0,26,12.33333333,12.57142857,Graduate
0,1,1,0,54,14.33333333,13.85714286,Graduate
1,1,1,0,21,15.16666667,14,Graduate
1,1,0,1,20,15.14285714,15.14285714,Graduate
1,1,0,0,18,0,0,Dropout
1,1,0,0,19,13.41142857,13.29444444,Graduate
1,1,0,0,18,12.33333333,12.16666667,Graduate
1,1,0,0,19,11.8,12.2,Graduate
1,1,0,0,22,12,12,Dropout
0,1,0,0,19,15,15.625,Graduate
1,1,0,0,21,13.875,12.7,Dropout
0,1,0,0,20,11.83333333,14.33333333,Graduate
1,1,0,1,18,12.5,13.83333333,Graduate
1,1,0,1,18,15,15.5,Graduate
1,1,0,0,20,11.66666667,10.5,Dropout
0,1,0,1,18,14.668,14.63375,Graduate
1,1,0,0,18,13.345,13.345,Graduate
1,1,0,1,20,12.8,12.33333333,Graduate
1,1,0,0,19,10.83333333,12.14285714,Graduate
1,1,0,0,18,13.66666667,14,Graduate
0,1,0,0,18,14.53714286,14.53714286,Graduate
0,1,0,1,18,14.4,14,Dropout
1,1,0,1,20,0,0,Graduate
0,1,0,1,19,13.16666667,13.83333333,Graduate
0,0,1,0,36,11.5,0,Dropout
0,1,0,1,19,11.33333333,12.42857143,Graduate
1,1,0,0,18,12,13.6,Graduate
0,1,0,1,18,13.16666667,12.16666667,Graduate
1,1,0,1,18,14.83333333,14.16666667,Graduate
1,1,0,0,19,13,13.22222222,Graduate
1,1,0,0,18,13.08714286,12.95,Graduate
1,1,0,1,19,13.33333333,13.66666667,Graduate
1,1,0,0,18,12.16666667,12.75,Graduate
1,0,0,1,22,11,12,Graduate
1,0,0,0,18,0,0,Dropout
1,1,0,0,19,13.6,12.2,Graduate
1,1,0,0,18,15.5,14,Graduate
0,1,0,0,19,13.85714286,14.28571429,Graduate
1,1,0,0,20,11.5,10,Graduate
1,1,0,1,18,13,12.16666667,Graduate
0,0,0,0,23,14,13,Graduate
1,1,0,0,20,0,0,Dropout
1,1,0,0,20,11.16666667,11.5,Graduate
1,0,0,1,22,0,0,Dropout
1,1,0,1,18,12.14285714,13.66666667,Graduate
0,1,0,1,18,14.14571429,13.62777778,Graduate
0,1,0,0,18,14.45,14.14444444,Graduate
0,1,0,0,18,15.71428571,15,Graduate
0,1,0,0,21,12.8,12.66666667,Graduate
0,1,0,0,20,12.5,11.5,Graduate
1,1,0,0,18,14.5,12.83333333,Graduate
1,0,0,1,20,13.46285714,13.16428571,Graduate
1,1,0,0,25,12.83333333,12.83333333,Graduate
1,1,0,1,18,12,11.6,Graduate
1,1,0,0,19,0,0,Graduate
1,1,0,0,20,14.71428571,13.2,Graduate
1,1,0,1,20,12.57142857,13.28571429,Graduate
1,1,0,1,21,12.5,11.5,Graduate
1,1,0,0,18,14,14,Graduate
1,1,0,0,18,11.57142857,13.16666667,Dropout
1,1,0,1,18,15.83333333,15.33333333,Graduate
1,1,0,0,18,14.25,14.25,Graduate
0,1,0,0,19,0,0,Dropout
1,1,0,0,20,11.66666667,11,Dropout
0,1,0,0,47,0,0,Dropout
0,1,0,0,21,13.2,12.5,Graduate
0,1,1,0,31,12,10,Dropout
1,1,1,0,46,0,0,Dropout
1,1,1,0,18,12,11,Graduate
1,1,1,0,19,13.33333333,10.75,Dropout
1,1,1,0,23,12.41428571,13.5,Graduate
0,0,1,0,22,0,0,Dropout
1,1,1,0,19,13.8,12.4,Graduate
0,0,0,0,19,0,0,Dropout
0,0,1,0,22,11.5,14,Graduate
0,0,1,0,29,0,0,Dropout
1,1,0,0,18,14.01666667,14.01666667,Graduate
1,1,0,0,18,11.4,10.8,Graduate
1,0,0,1,23,0,0,Dropout
0,1,0,0,34,10.4,12,Graduate
0,1,0,0,19,10.66666667,10.25,Graduate
1,1,0,0,18,14.25,12.71428571,Graduate
0,1,0,1,20,13.91428571,14.10625,Graduate
1,1,0,0,19,13.76111111,12.82375,Graduate
1,1,0,0,22,12.6,11.25,Graduate
1,1,0,1,23,13.85714286,14.16666667,Graduate
0,1,1,1,34,13.84285714,13.84285714,Graduate
1,0,1,0,18,0,0,Graduate
1,1,1,0,21,11.8,0,Dropout
1,1,1,0,22,12.66666667,13.83333333,Dropout
0,1,1,0,28,0,0,Dropout
1,1,1,0,23,0,0,Dropout
0,1,1,0,20,10.75,10,Dropout
1,1,1,0,18,12.6,13.25,Dropout
1,0,1,0,28,0,0,Dropout
0,1,1,0,21,12,12.14285714,Dropout
0,0,1,0,25,14,14.5,Dropout
1,0,1,0,19,14,13.5,Dropout
1,1,1,1,18,14.68285714,15.05555556,Graduate
0,1,1,0,29,0,0,Dropout
0,1,1,1,29,0,0,Dropout
0,1,1,0,20,13.85714286,12.8,Graduate
0,1,1,0,18,0,0,Graduate
0,1,1,0,20,13.14285714,12.5,Graduate
1,1,1,0,33,18,13,Dropout
0,1,1,0,30,11.46153846,11.58333333,Graduate
0,1,1,1,21,11.2,11.58333333,Graduate
0,1,1,0,18,15,14.5,Graduate
0,1,1,1,19,14.24444444,12.23333333,Graduate
0,1,1,1,21,11.5,11,Dropout
0,1,1,1,25,10,0,Dropout
0,1,1,0,19,12.33333333,11.6,Graduate
1,1,1,0,23,12.2,12.14285714,Dropout
1,1,1,1,19,13.66666667,13.2,Graduate
1,1,1,0,19,0,0,Graduate
0,0,1,0,31,11,0,Dropout
0,0,1,0,32,13,11.42857143,Dropout
1,1,0,1,19,12.6,12.6,Graduate
1,1,0,0,34,12.2,12.33333333,Graduate
1,1,0,0,21,13.16666667,13,Graduate
1,1,0,1,53,11,11,Graduate
0,1,0,1,19,14.01428571,15.35,Graduate
0,1,0,1,20,13,11.25,Graduate
1,1,0,0,18,14,14.66666667,Graduate
0,0,0,0,32,0,0,Dropout
1,1,0,1,21,14.42857143,14.42857143,Graduate
0,0,0,0,26,0,0,Dropout
1,1,0,0,26,11.83333333,12.46153846,Graduate
0,0,0,0,21,11.33333333,13,Dropout
0,1,0,0,18,12.5,13,Graduate
1,1,0,1,21,13.33333333,12.54545455,Graduate
1,1,0,0,21,10.83333333,11,Graduate
0,1,0,1,19,13,14,Graduate
0,1,0,0,19,10,14,Dropout
0,1,0,1,19,11.42857143,11.2,Graduate
1,1,0,0,27,12.8875,12.8875,Graduate
1,1,0,1,18,12.95,12.95,Graduate
1,1,0,0,20,10,0,Dropout
1,1,0,1,19,13.09428571,12.55,Graduate
1,1,0,0,20,0,0,Dropout
1,1,0,1,19,11.71428571,11,Graduate
1,1,0,0,20,11.25,10,Graduate
0,1,0,0,20,0,0,Dropout
0,1,0,0,18,13.16666667,13.33333333,Graduate
1,1,0,0,20,12.75,13.4,Graduate
0,0,0,0,38,10.6,11,Dropout
0,1,0,0,42,11.2,12,Graduate
0,1,0,0,32,0,0,Dropout
1,1,0,0,22,13,13.66666667,Graduate
1,1,0,0,28,0,0,Dropout
1,1,0,0,37,0,0,Dropout
0,1,0,0,43,14.16666667,15,Graduate
0,1,0,1,41,12.83333333,12.33333333,Graduate
0,1,0,1,29,11.75,10.4,Graduate
0,1,0,1,35,10.83333333,11.5,Graduate
1,1,0,0,18,11.75,12.25,Dropout
0,0,0,1,39,11.5,10.5,Dropout
0,1,0,0,37,10,11.33333333,Graduate
1,1,0,1,26,13.7,13.7,Graduate
1,1,0,0,32,14,0,Dropout
0,1,0,0,37,11.375,12.16666667,Graduate
1,1,0,0,28,0,0,Graduate
1,1,0,0,19,0,0,Dropout
1,1,0,0,18,11,12.5,Graduate
0,1,0,1,19,13,13.28571429,Graduate
0,1,0,0,32,13.6,15.11111111,Graduate
1,1,0,0,31,11,11.5,Dropout
1,1,0,0,34,11.70571429,11.70571429,Graduate
1,1,0,0,20,13.25,14.33333333,Graduate
0,1,0,0,28,10.75,10,Dropout
0,1,0,0,31,12,13.42857143,Graduate
1,1,0,0,18,12.66666667,12.25,Graduate
0,0,0,0,31,11.4,11,Dropout
1,1,0,0,19,13,12.4,Graduate
1,1,0,1,19,14,12.28571429,Graduate
1,1,0,0,31,0,0,Graduate
0,1,0,0,34,0,0,Dropout
1,1,0,1,18,15.28571429,16.075,Graduate
1,1,0,0,18,13.16666667,12.66666667,Graduate
0,1,1,0,19,13.6,12.83333333,Graduate
1,0,1,1,22,0,0,Dropout
0,1,1,0,32,11.4,11.5,Graduate
0,1,1,0,61,0,0,Dropout
1,1,1,0,30,11,11.6,Graduate
0,0,1,0,45,0,0,Dropout
0,1,1,0,20,13.57142857,12.66666667,Graduate
0,1,0,0,19,0,0,Dropout
1,1,1,0,26,11.25,12,Dropout
1,1,1,0,19,13.33333333,11,Dropout
0,1,1,1,19,12,11.66666667,Graduate
1,1,1,0,19,12.5,13,Graduate
1,1,1,1,19,13.2,12.66666667,Graduate
1,0,1,0,19,0,0,Dropout
1,0,1,0,28,11.66666667,11.5,Dropout
0,1,1,0,24,13.46666667,13.64285714,Graduate
0,1,1,0,18,13.66666667,13.2,Graduate
0,1,1,0,18,11.66666667,12.5,Graduate
1,1,1,1,18,11.66666667,10.2,Graduate
0,1,1,0,21,13.4,12.4,Graduate
0,0,1,0,28,0,0,Dropout
0,1,1,0,58,0,0,Dropout
1,0,1,0,49,0,0,Dropout
0,1,1,0,24,10.66666667,10.5,Graduate
0,1,1,0,25,13.75,14.75,Graduate
1,1,1,0,33,10,0,Dropout
0,0,1,0,33,0,0,Dropout
0,1,1,0,40,16,15.5,Graduate
0,1,1,0,48,12.28571429,11.125,Graduate
1,0,1,0,18,12,10.33333333,Graduate
1,1,1,0,24,12.66666667,12.66666667,Graduate
0,1,1,1,23,11.8,13.25,Graduate
1,0,1,0,39,10.6,14.66666667,Dropout
0,1,1,0,21,11.9,12.25,Graduate
1,1,1,0,34,11.25,10.5,Dropout
0,1,1,1,41,11,11.4,Graduate
0,1,1,0,18,12,12.5,Graduate
0,1,1,0,34,11.75,10.83333333,Graduate
0,1,1,0,19,10,16,Dropout
0,1,1,0,19,13.71428571,13.71428571,Graduate
0,1,1,0,28,14.875,15.8,Graduate
1,1,1,0,18,10.8,0,Dropout
1,1,1,0,19,12,10,Dropout
1,0,1,0,19,12.5,13.5,Dropout
1,1,0,0,18,14.72857143,16.32727273,Graduate
1,1,0,0,18,12,14.8,Graduate
1,1,0,0,18,11.42857143,11,Dropout
1,1,0,0,19,14.16666667,13.5,Graduate
0,1,0,0,31,12.5,14.6,Graduate
0,1,0,1,33,14.16666667,14.33333333,Graduate
1,1,0,1,20,14.46,13.55,Graduate
1,1,0,0,22,12.8,11.5,Graduate
1,1,0,0,19,12.66666667,13.4,Graduate
1,1,0,0,18,12.5,13,Dropout
0,1,0,0,18,0,0,Dropout
1,0,0,0,18,0,0,Dropout
1,1,0,0,18,0,0,Graduate
1,1,0,1,19,11.2,11,Graduate
1,1,0,0,18,16.5,17.42857143,Dropout
1,1,0,0,18,13.66666667,12,Graduate
1,1,0,1,18,15.22857143,15.22857143,Graduate
1,1,0,0,21,12.77777778,13.22222222,Graduate
0,1,0,1,18,14.42857143,14.42857143,Graduate
1,1,0,0,18,13.875,13.71428571,Graduate
1,1,0,0,18,13.128,13.19333333,Graduate
1,1,0,0,20,11.605,12.4125,Graduate
0,1,0,1,18,14.6,12,Graduate
1,1,0,0,18,0,0,Dropout
1,1,0,1,20,11.8,11.6,Graduate
1,1,0,0,20,12.33333333,12.33333333,Graduate
1,1,0,1,19,11,0,Dropout
0,1,0,1,19,13.18181818,12.90909091,Graduate
1,0,0,1,18,11,0,Dropout
1,1,0,1,19,11.83333333,12.28571429,Graduate
1,1,0,1,20,12.98125,12.98125,Graduate
1,1,0,0,21,11.33333333,11.2,Graduate
0,1,0,0,21,11.68,11.68,Graduate
0,1,0,0,20,14.5,13.5,Graduate
1,1,0,0,19,13.14285714,12.85714286,Graduate
0,0,0,0,21,11.5,10.5,Dropout
0,1,0,0,18,14.2,11.8,Graduate
0,1,0,1,19,11.66666667,12.2,Graduate
1,1,0,0,18,13.175,14.875,Graduate
1,1,0,1,19,13.31428571,13.31428571,Graduate
1,1,0,1,18,10.6,10.5,Graduate
0,1,0,1,18,12,10.75,Graduate
0,1,0,0,18,13.42857143,14.14285714,Graduate
1,1,0,1,18,13.25,15.57142857,Graduate
1,1,0,0,18,13,0,Dropout
0,1,0,1,18,14.33333333,14,Graduate
0,1,0,0,18,0,0,Dropout
0,1,0,0,18,14,13.16666667,Graduate
1,1,0,1,20,12,12.83333333,Graduate
0,1,0,0,18,12.33333333,10.6,Graduate
1,1,0,0,18,11.8,10.4,Graduate
0,1,0,1,20,12.79142857,12.79142857,Graduate
0,1,0,0,40,11.625,11.2,Graduate
1,1,0,1,18,11.99444444,12.43142857,Graduate
1,1,0,0,19,11.6,12.2,Graduate
0,1,0,0,24,0,0,Dropout
1,1,0,0,19,13.16666667,13.16666667,Dropout
1,1,0,0,19,14.1,14.1,Graduate
1,1,0,1,20,12.39666667,12.94285714,Graduate
0,1,0,0,18,15.01428571,16.0875,Graduate
1,1,0,1,18,0,0,Graduate
1,1,0,0,19,14.05,15.1,Graduate
1,1,0,0,18,14.85,15.2,Dropout
1,1,0,0,19,13,13,Graduate
1,1,0,1,19,14.7875,15.8625,Graduate
0,1,0,1,19,13.7,14.67142857,Graduate
1,1,0,1,19,12.49571429,12.24285714,Dropout
0,1,0,0,19,14.56666667,14.56666667,Graduate
1,0,0,0,25,11.2,11.25,Dropout
0,1,0,0,20,12.68571429,12.68571429,Graduate
0,0,0,0,23,13.57142857,13.25,Dropout
0,1,0,0,20,0,0,Dropout
0,1,0,0,27,11,11.16666667,Graduate
0,1,0,0,18,14.445,14.445,Graduate
1,1,0,0,18,13.6,11.75,Graduate
1,0,0,0,23,14,14.625,Dropout
1,1,0,1,19,13.41666667,13.41666667,Graduate
0,1,0,0,18,12.33333333,11.4,Graduate
1,1,0,0,20,13.1,14.8125,Graduate
1,1,0,0,18,13.2,12.8,Graduate
1,1,0,1,19,14.75,14.75,Graduate
1,1,0,1,19,13.14285714,14.33333333,Graduate
0,1,0,0,19,12.5,12.5,Graduate
0,1,0,0,18,13.75,14.85714286,Graduate
0,1,0,0,18,12.4,13,Graduate
1,1,0,0,18,13.33333333,12,Graduate
0,0,0,0,28,11.72727273,12,Dropout
1,1,0,0,19,12.5,14,Dropout
1,1,0,0,20,0,0,Dropout
1,1,0,1,19,13.53333333,13.61428571,Graduate
0,1,0,1,20,13.16666667,12.66666667,Graduate
1,1,0,1,19,13.2,11,Graduate
1,1,0,0,21,12.2,12.6,Graduate
1,1,0,1,19,13.42857143,14.85714286,Graduate
1,1,0,1,18,12.71428571,12.625,Graduate
0,1,0,0,19,0,0,Dropout
0,1,0,1,19,13.66666667,13.66666667,Graduate
0,1,0,0,20,11,13.16666667,Graduate
1,1,0,0,18,11.4,13.33333333,Graduate
0,1,0,0,18,0,0,Graduate
0,1,0,0,18,12,12,Graduate
0,1,0,0,18,0,0,Dropout
1,1,0,0,18,11,11.66666667,Graduate
1,1,0,0,20,12,11.57142857,Dropout
1,1,0,1,19,13.30857143,12.55,Graduate
1,0,0,0,21,13.66666667,10.66666667,Dropout
1,0,0,0,20,0,0,Dropout
1,1,0,0,18,12.2,11.25,Graduate
0,1,0,1,20,12.66666667,12.83333333,Graduate
1,1,0,1,19,14.07125,14.07125,Graduate
1,1,0,0,22,14.25,13.2,Dropout
1,0,0,0,22,0,0,Dropout
1,1,0,0,18,12,10.25,Graduate
0,1,0,0,21,11.16666667,10.57142857,Graduate
1,1,0,0,19,13,11.6,Graduate
1,1,0,0,19,0,0,Dropout
1,1,0,1,20,14.90142857,14.90142857,Dropout
1,1,0,1,18,12.65,12.44555556,Graduate
0,0,0,0,22,11,10.6,Dropout
1,1,0,0,20,12.4,12.66666667,Graduate
0,1,0,0,19,12,12.66666667,Graduate
1,1,0,1,19,12.13571429,13.32857143,Graduate
1,1,0,1,20,12.62,12.5,Graduate
0,1,0,0,25,10.66666667,11.33333333,Graduate
0,1,0,1,19,13.76666667,14.05142857,Graduate
1,1,0,0,19,13.11625,13.11625,Graduate
1,0,0,0,19,0,0,Dropout
0,1,0,0,20,12.7,13.57142857,Graduate
1,1,0,0,25,11.85714286,11.7,Graduate
1,1,0,1,20,12.33333333,12.33333333,Graduate
1,1,0,0,24,15.75,16.4,Graduate
0,1,0,0,20,13.33333333,13.2,Graduate
1,1,0,0,21,14.35555556,13.49375,Graduate
0,1,0,1,19,13,13,Graduate
0,1,0,1,19,12.83333333,13.5,Graduate
0,1,0,1,21,13.2,13,Graduate
0,1,0,0,28,17.00555556,16.58222222,Graduate
1,0,0,1,19,10.6,11,Graduate
0,1,0,1,18,14,13.6,Graduate
1,1,0,1,18,12.11428571,12.11428571,Graduate
1,1,0,1,18,13.05875,13.05875,Graduate
1,1,0,0,22,13.28571429,13.28571429,Graduate
1,1,0,0,19,11,10.66666667,Graduate
0,1,0,1,18,14.07142857,15.1625,Graduate
0,0,0,0,20,0,0,Dropout
0,0,0,0,26,11.25,11,Dropout
1,1,0,1,18,14,13.625,Graduate
1,1,0,1,21,12.16666667,11.66666667,Dropout
1,1,0,0,18,13.29714286,13.29714286,Graduate
1,1,0,0,20,13.92307692,14.25,Graduate
1,1,0,0,18,13.37,12.83333333,Graduate
0,1,0,1,19,12.4,11,Graduate
1,1,0,0,20,15,13.75,Dropout
0,1,0,1,18,13.33333333,12.57142857,Graduate
1,1,0,1,20,12,12.625,Graduate
1,1,0,0,22,13.4,12.2,Graduate
1,1,0,0,18,0,0,Graduate
0,1,0,0,21,11.5,11.4,Graduate
0,1,0,0,18,12,12.16666667,Graduate
0,1,0,0,18,13.48571429,13.48571429,Graduate
0,1,0,1,18,12,11.28571429,Graduate
1,1,0,0,19,0,0,Dropout
1,1,0,0,19,10.33333333,14.42857143,Graduate
1,1,0,0,19,12.94,13.76,Graduate
1,1,0,0,19,13.25857143,13.25857143,Graduate
1,1,0,0,19,12.25,12,Graduate
1,0,0,0,19,11.66666667,10,Dropout
1,1,0,1,21,13.57142857,12.5,Graduate
0,1,0,1,20,11.8,11.83333333,Graduate
1,1,0,1,20,14.2,13.28571429,Graduate
0,1,0,0,41,11,11.8,Graduate
1,1,0,0,32,13.625,12.6375,Graduate
1,1,0,0,18,14.65285714,14.65285714,Graduate
0,1,0,1,35,11.33333333,11.33333333,Graduate
0,0,0,0,32,13.7,0,Dropout
0,1,0,0,37,13.72727273,14.75,Graduate
0,1,0,0,30,11.75,11.14285714,Dropout
0,1,1,0,23,12.33333333,13,Graduate
1,1,0,1,20,14,13.85714286,Dropout
0,1,1,0,21,11.5,11.75,Graduate
0,1,1,0,19,11.2,13.2,Graduate
1,1,1,1,18,15.07,15.07,Graduate
0,1,1,0,18,10,12,Dropout
0,1,1,0,24,12,12.66666667,Graduate
1,1,1,0,22,13,12.6,Graduate
1,1,1,0,18,11,11.25,Dropout
1,1,0,0,18,13.57142857,12.16666667,Graduate
1,1,1,0,21,14.6,14.2,Graduate
0,1,0,0,38,11.83333333,10,Dropout
0,1,0,1,19,12.625,12.5125,Graduate
0,1,0,0,36,11.5,12.33333333,Dropout
1,1,0,0,18,13.25,10.5,Graduate
1,1,0,0,19,12.60625,11.9,Graduate
0,0,0,0,21,13.75,13.2,Dropout
1,1,0,0,19,13.59833333,11.93333333,Graduate
0,1,0,1,18,11.14285714,12.28571429,Graduate
1,1,0,0,45,12.7,12.96818182,Graduate
1,1,0,0,20,10,11,Dropout
1,1,0,0,18,11.66666667,11.5,Graduate
0,1,0,1,18,14,13.14285714,Graduate
0,1,0,0,25,0,0,Dropout
1,1,0,0,19,12.04142857,12.04142857,Graduate
1,1,0,1,18,0,0,Graduate
0,1,0,0,39,13.76923077,14.58333333,Graduate
0,1,0,0,29,15.44444444,15.30769231,Graduate
1,1,0,0,18,11.5,12.71428571,Graduate
0,0,0,0,23,10,0,Dropout
